age,job,marital,education,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,y
56,housemaid,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
37,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
40,admin.,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
56,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
59,admin.,0,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
24,technician,2,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
25,services,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
25,services,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
29,blue-collar,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
57,housemaid,1,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
50,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
30,unemployed,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
55,retired,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
41,technician,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
37,admin.,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,technician,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
54,blue-collar,1,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
52,technician,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
41,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
56,technician,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
32,entrepreneur,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
38,admin.,2,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
57,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
57,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
40,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
45,blue-collar,0,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
54,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
39,housemaid,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
60,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
53,admin.,2,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
25,technician,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
51,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
48,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
37,admin.,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,blue-collar,2,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
56,admin.,0,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
41,management,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,management,1,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
55,technician,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,technician,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
31,admin.,1,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,management,0,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
39,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
49,technician,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,1
34,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
35,admin.,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
33,unemployed,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
45,services,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,management,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
37,technician,2,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,blue-collar,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
49,blue-collar,0,basic.4y,0,1,3,0,0,1.1,93.994,4.857,5191,0
52,admin.,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
52,admin.,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,housemaid,0,basic.6y,1,1,2,0,0,1.1,93.994,4.857,5191,0
35,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
35,services,1,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
37,management,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
52,admin.,1,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
49,blue-collar,1,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
45,technician,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
32,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
50,admin.,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
31,technician,1,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
56,retired,0,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
37,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
37,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
52,management,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
39,management,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,services,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
43,unemployed,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
39,management,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
