Name,City,Country,Year established,Gallery space,Visitors
British Museum,London,United Kingdom,1753,92000,6479952
Louvre,Paris,France,1792,72735,8737050
State Hermitage Museum,St. Petersburg,Russia,1764,66842,3563590
National Museum of China,Beijing,China,1959,65000,6300000
Metropolitan Museum of Art,New York City,United States,1870,58820,5727258
Museo del Prado,Madrid,Spain,1819,47700,3457057
Vatican Museums,Vatican City (Rome),Vatican City,1506,43000,6825436
Tokyo National Museum,Tokyo,Japan,1872,38000,1372132
National Museum of Anthropology,Mexico City,Mexico,1964,33000,3700000
Victoria and Albert Museum,London,United Kingdom,1852,30658,3525700
Humboldt Forum,Berlin,Germany,2020,29500,3300000
Kunsthistorisches Museum,Vienna,Austria,1891,29000,1954269
Houston Museum of Fine Arts,Houston,United States,1900,28000,1269626
National Museum of Korea,Seoul,South Korea,1909,27090,3788785
Art Institute of Chicago,Chicago,United States,1879,26000,1322195
Mystetskyi Arsenal,Kyiv,Ukraine,2006,24000,173550
National Gallery of Art,"Washington, D.C.",United States,1937,25200,3936543
MASS MoCA,North Adams,United States,1999,23225,160000
Art & History Museum,Brussels,Belgium,1835,22000,579204
Museum of Fine Arts,Boston,United States,1870,20500,821491
Royal Ontario Museum,Toronto,Canada,1912,19900,1091120
Israel Museum,Jerusalem,Israel,1965,18500,800000
National Gallery Singapore,Singapore,Singapore,2015,18000,1723916
Minneapolis Institute of Art,Minneapolis,United States,1883,17500,591069
Museu Oscar Niemeyer,Curitiba,Brazil,2002,17000,2000000
M+,Kowloon,Hong Kong,2021,17000,2612691
Arsenal (Biennale),Venice,Italy,1895,17000,113000
Musée National d'Art Moderne,Paris,France,1947,17000,1501040
Musée d'Orsay,Paris,France,1986,16853,3751141
San Francisco Museum of Modern Art,San Francisco,United States,1935,15800,650000
Museum of Modern Art,New York City,United States,1929,15400,2657377
Museo di Capodimonte,Naples,Italy,1757,15000,252770
Denver Art Museum,Denver,United States,1918,15000,600000
Egyptian Museum,Cairo,Egypt,1902,15000,3000000
Dia:Beacon,"Beacon, New York",United States,2003,14900,100000
Dallas Museum of Art,Dallas,United States,1903,14800,490000
Museo Reina Sofía,Madrid,Spain,1992,14756,1514854
"MMCA, Gwacheon",Gwacheon,South Korea,1969,14144,1171780
Detroit Institute of Arts,Detroit,United States,1885,14000,594267
Tokyo National Art Center,Tokyo,Japan,2007,14000,881733
National Taiwan Museum of Fine Arts,Taichung,Taiwan,1988,13600,1341773
National Gallery in Prague (Veletržní),Prague,Czech Republic,1796,13500,560000
Indianapolis Museum of Art,Indianapolis,United States,1883,13300,428213
Milwaukee Art Museum,Milwaukee,United States,1882,13196,350000
Bavarian National Museum,Munich,Germany,1855,13000,146000
Capital Museum,Beijing,China,1981,13000,1722998
Montreal Museum of Fine Arts,Montreal,Canada,1860,13000,1174890
National Gallery,London,United Kingdom,1824,13000,3203451
National Gallery of Victoria,Melbourne,Australia,1861,19600,1580303
Palais de Tokyo,Paris,France,2001,13000,720000
Salar Jung Museum,Hyderabad,India,1855,13000,1211766
"National Archaeological Museum, Naples",Naples,Italy,1777,12650,500000
Virginia Museum of Fine Arts,Richmond,United States,1934,12500,410734
Tate Modern,London,United Kingdom,2000,12427,4603025
Cleveland Museum of Art,Cleveland,United States,1913,12400,685336
National Gallery of Canada,Ottawa,Canada,1880,12400,400000
Art Gallery of Ontario,Toronto,Canada,1900,12000,846835
Hamburger Kunsthalle,Hamburg,Germany,1869,12000,600000
Museum Boijmans Van Beuningen,Rotterdam,Netherlands,1849,12000,252300
National Gallery of Modern Art,New Delhi,India,1954,12000,4074403
Palais des Beaux-Arts de Lille,Lille,France,1809,12000,316000
Pinakothek der Moderne,Munich,Germany,2002,12000,296151
Rijksmuseum,Amsterdam,Netherlands,1800,12000,2500000
Tretyakov Gallery (Krymsky Val),Moscow,Russia,1985,12000,2835836
Taipei Fine Arts Museum,Taipei,Taiwan,1983,11700,1341773
Kunsthaus,Zürich,Switzerland,1910,11500,382603
Art Gallery of New South Wales,Sydney,Australia,1874,11000,2369339
Capitoline Museums,Rome,Italy,1471,11000,411217
Guggenheim Museum,Bilbao,Spain,1997,11000,1199123
Los Angeles County Museum of Art,Los Angeles,United States,1910,11000,902237
Shaanxi History Museum,Xi'an,China,1991,11000,1400
Portland Art Museum,"Portland, Oregon",United States,1892,10400,445000
"Museum of Fine Arts, Budapest",Budapest,Hungary,1906,10300,850000
Hamburger Bahnhof,Berlin,Germany,1996,10000,250000
MAXXI,Rome,Italy,2010,10000,3300000
Museo Egizio,Turin,Italy,1824,10000,1061157
"MMCA, Seoul",Seoul,South Korea,2013,10000,937484
Saint Louis Art Museum,St. Louis,United States,1881,10000,320702
Tel Aviv Museum of Art,Tel Aviv,Israel,1932,10000,906350
National Palace Museum,Taipei,Taiwan,1925,9613,1874994
National Archaeological Museum,Madrid,Spain,1867,9300,594219
Musée Fabre,Montpellier,France,1828,9300,253041
Pinacoteca do Estado de São Paulo,São Paulo,Brasil,1905,9112,450000
Bardo National Museum,Tunis,Tunisia,1888,9000,664891
Cité de l'Architecture et du Patrimoine,Paris,France,1879,9000,205000
National Gallery,Oslo,Norway,1842,9000,3203451
De Young Museum,San Francisco,United States,1895,8919,999645
Smithsonian American Art Museum,"Washington, D.C.",United States,1829,8800,3150000
Musée du quai Branly,Paris,France,2006,8750,1410000
High Museum of Art,Atlanta,United States,1905,8714,1391180
Gallerie di Piazza Scala,Milan,Italy,2011,8300,232528
National Art Museum of China,Beijing,China,1958,8300,2377600
Gemäldegalerie,Berlin,Germany,1830,8000,500000
Louvre Abu Dhabi,Abu Dhabi,UAE,2017,8000,1247076
Museum Ludwig,Cologne,Germany,1976,8000,304942
National Archaeological Museum,Athens,Greece,1866,8000,594219
Neues Museum,Berlin,Germany,1855,8000,1000000
Petit Palais,Paris,France,1902,8000,1187637
Stedelijk Museum,Amsterdam,Netherlands,1874,8000,724257
